cLZOUfi0eBIPavpTuRy/BX8WlVvtDQZstgw8jUUhXcY=,01/Jul/1995:00:03:13,GET /shuttle/missions/sts-65/mission-sts-65.html HTTP/1.0,200,130811,/shuttle/missions/sts-65/mission-sts-65.html,NA
KaabDbkZKK80hZh8H9oSJndBFB7HNRFOIEJuqGeIFBg=,01/Jul/1995:00:03:13,"GET /cgi-bin/imagemap/countdown?103,175 HTTP/1.0",302,110,"/cgi-bin/imagemap/countdown?103,175",NA
KaabDbkZKK80hZh8H9oSJndBFB7HNRFOIEJuqGeIFBg=,01/Jul/1995:00:03:14,GET /shuttle/missions/sts-71/images/images.html HTTP/1.0,200,7634,/shuttle/missions/sts-71/images/images.html,NA
XLXYKV4gqezf5XCwAzILElQpZZCohJweV5WdnpJEnO4=,01/Jul/1995:00:03:15,GET /shuttle/missions/missions.html HTTP/1.0,200,8677,/shuttle/missions/missions.html,NA
RQ5m1WwhYhezwDfuuaGMcpQLJBhDLxm95nNAPgEfklA=,01/Jul/1995:00:03:20,"GET /cgi-bin/imagemap/countdown?107,144 HTTP/1.0",302,96,"/cgi-bin/imagemap/countdown?107,144",NA
jAh1LksnqB8kwAcJF6uBiIQ5V0OwSNdB9vIIWSxxJeE=,01/Jul/1995:00:03:24,GET /software HTTP/1.0,302,-,/software,NA
BpwwP2UGulcsJWfU4WlNdc0i59amuwHVXwZOMF1Odfs=,01/Jul/1995:00:03:25,GET /shuttle/missions/sts-71/movies/movies.html HTTP/1.0,200,3092,/shuttle/missions/sts-71/movies/movies.html,NA
jAh1LksnqB8kwAcJF6uBiIQ5V0OwSNdB9vIIWSxxJeE=,01/Jul/1995:00:03:26,GET /software/ HTTP/1.0,200,689,/software/,NA
0uFq3MaOp5cnMtagU+bCOg==,01/Jul/1995:00:03:31,GET /history/apollo/apollo-13/apollo-13.html HTTP/1.0,200,18114,/history/apollo/apollo-13/apollo-13.html,NA
vrlXLxbftvXxdFxnFnxzaBG4cYxAUqAZ49DhkJgz2w8=,01/Jul/1995:00:03:31,GET /shuttle/missions/sts-68/mission-sts-68.html HTTP/1.0,200,49087,/shuttle/missions/sts-68/mission-sts-68.html,NA
